website,email,name,description
www.asirobots.com,None,Autonomous Solutions,"
			Since 2000, ASI has been a world leader in unmanned ground vehicle systems. We have worked with many of the worlds largest mining companies, and provide robotic solutions ranging from driver assistance to a full, multi-vehicle autonomy solution.		"
www.andersonmetals.com,info@andersonmetals.com,Anderson Metals Corp. Inc.,"
			We are a family-owned and operated manufacturer of brass fittings, valves and pipe nipples based in Kansas City, MO, since 1947. We offer same-day shipping at a 99.35 percent fill-rate on more than 12,000 products made from brass forgings, rod and castings.		"
www.symposium.net.au,None,Australian Pavilion,"
			When you need a break, join us on the ""BEACH"" A place to put your feet up &regroup before heading out into the show again. No swimming allowed.		"
www.safeboarder.com,sales@safeboarder.com,Australian Equipment Engineering,"
			AEE is a global designer & manufacturer of premium,innovative safety products with our SafeBoarder access systems,SafeMover retrieval trailer and other workshop safety products.When it comes to your personnelâ€™s safety, we are your solution provider		"
www.australce.com,None,Australian Ceramics Engineering Pty Ltd.,None
www.auctiontime.com,feedback@auctiontime.com,AuctionTime.com,"
			Powered by MachineryTrader.com, TractorHouse.com, and TruckPaper.com, AuctionTime.com brings together buyers and sellers to move equipment at auction values. Sellers list equipment on AuctionTime.com for a low flat fee. Bidders pay no buyers fees.		"
www.atselectrolube.com,None,"ATS Electro-Lube Intl., Inc.",None
www.atlas-pump.com,None,Atlas Equipment Manufacturing Ltd.,None
www.atlascopco.com,None,Atlas Copco,"
			Atlas Copco is a world-leading provider of sustainable productivity solutions serving customers with innovative mining and construction equipment, compressors, vacuum solutions and air treatment systems, power tools and assembly systems.		"
www.atlanticbraids.com,info@atlanticbraids.com,Atlantic Braids Ltd.,"
			Atlantic Braids Ltd. is a leading Canadian manufacturer of braided rope and synthetic cables. We specialize in fibers including Dyneema, Technora, Vectran, polyester, nylon and many others. We offer customized service with short lead times.		"
www.atarfil.com,None,ATARFIL,None
www.astralloy.com,None,Astralloy Steel Products Corp.,None
www.awmi.org,awmi@talley.com,Association of Women in the Metal Industries,"
			AWMI is an organization of professionals, founded in 1981 to promote and develop the growth of women in the metal industries. Membership is open to both men and women seeking professional development. AWMI has 21 chapters across the U.S. and Canada.		"
www.stategeologists.org,None,Association of American State Geologists,None
www.assaabloyentrance.com,info.na.aaes@assaabloy.com,ASSA ABLOY,"
			ASSA ABLOY Entrance Systems offers durable mine door solutions to meet the tough conditions of the mining industry. Our Megadoor and Albany mine door systems provide exceptional performance for mining and heavy industry environments.		"
www.aspermontmedia.com,None,Aspermont Media,None
www.aspentrailer.com,None,Aspen Custom Trailers,None
www.asgco.com,info@asgco.com,ASGCO- Complete Conveyor Solutions,"
			At ASGCO â€œComplete Conveyor Solutionsâ€ù we use engineered products and services to provide our customers with the best solutions to their conveyor material handling applications.		"
www.asdi.com,NIR.info@panalytical.com,"ASD Inc., a PANalytical Company","
			ASD Inc. is a leading manufacturer of spectrometers for mineral analysis. ASD analyzers are used by exploration geologists for quick determination of alteration mineralogy and at active mine sites for expansive clay and problem mineral monitoring.		"
www.jienasi.net/,overseas.zhuoli@gmail.com,Baoding Zhuoli Machinery Co Ltd.,"
			Baoding Zhuoli Machinery Co. Ltd. is the leading manufacturer in conveyor components sector in China, specializing in conveyor rollers/idlers, conveyor pulley, bracket and other components.		"
www.shundaxj.com,camille@shundaxj.com,"Baoding Shunda Rubber Belts Co., Ltd.","
			Baoding Shunda Rubber Belts Co., Ltd., founded in 1996, a big specialized manufacturer of conveyor components in China. Registered capital is $17 million USD. Our main series now include conveyor belts, roller, idler, pulley and conveyor frames.		"
www.banlaw.com,americasales@banlaw.com,Banlaw America,"
			As global leaders in fuel management Banlaw delivers unparalleled safety, efficiency and cost reductions. Banlawâ€™s Unified Fuel Management approach includes hardware and software, asset management and training â€“ from â€˜buy to burn'.		"
www.baldwinfilter.com,None,Baldwin Filters,"
			Baldwin Filters offers heavy-duty lube, air, fuel, coolant, hydraulic and transmission filters for over-the-road vehicles and off-road equipment, as well as industrial, agricultural, automotive and marine applications.		"
www.baileyparks.com,btutor@baileyparks.com,Bailey-Parks Urethane Inc.,"
			Bailey-Parks Urethane, Inc., is a manufacturer of quality polyurethane products since 1969. Our product line includes sheeting, custom pad, roller/ wheel recover and custom molded products in both polyether and polyester materials.		"
www.baddogtools.com,topdog@baddogtools.com,Bad Dog Tools,"
			For 28 years we've been making specialty & multi-purpose tools for cutting and drilling so good we guarantee 'em for life! See tools in action at MINExpoÂ® including Multi-Purpose Bits for concrete, metal, wood, PVC, fiberglass, more!		"
www.axletech.com,info@axletech.com,AxleTech International,"
			AxleTech International is a leading designer and manufacturer of heavy-duty off-highway drivetrain systems and components as well as aftermarket parts, serving commercial and defense vehicle applications worldwide.		"
www.getaxisparts.com,info@getaxisparts.com,"Axis Parts, LLC","
			Axis Parts is a worldwide distributor and retailer of new aftermarket pins, bearing sleeves, rig-mounted hydraulic hammer bits, and all other replacement spare parts for the global construction and mining industry		"
www.avic-zy.com,forgings@avic-zy.com,"Avic Excellence Forging (Wuxi) Co., Ltd.","
			Avic Excellence Forging is a member of Avic Heavy Machinery, which is one of the public companies of Aviation Industry Corporation of China (AVIC). Main products: flanges, plates, ring gears, bearing rings and other mechanical forged parts.		"
www.aoip.com,export@aoip.com,AOIP SAS,"
			Designer and manufacturer of liquid resistance starters (LRS) for low and medium voltage asynchronous motors for a variety of applications and for duties from 500 kW to 20000 kW.		"
www.anvilintl.com,sales@anvilintl.com,Anvil International LLC,"
			Anvil, a worldwide market leader with a complete line of grooved couplings, fittings and valves that deliver cost savings at installation and legendary long-lasting performance. Visit us at www.anvilintl.com.		"
www.antraquip.net,info@antraquip.net,Antraquip Corp.,"
			Antraquip Corporation is a leading global supplier of roadheaders and hydraulic rock cutters (excavator mounted) used for a variety of applications within the mining, tunneling and general construction industries. Contact us at www.antraquip.net		"
www.ansul.com,None,ANSUL,None
www.anheavy.com,emily_zhao705@live.cn,"Anshan Heavy Duty Mining Machinery Co., Ltd.","
			Our company was listed in Shenzhen Securities Exchange in 2012. Its main products include vibrating screens, crushers, feeders, conveyors and various processing equipment, stone and sand crushing unit, mixing plant, precast concrete elements, etc.		"
www.asfan.cn,None,"Anshan Gangfeng Fan Co., Ltd.","
			Anshan Gangfeng Fan was incorporated in year 1979. The headquarters and manufacturing unit is located in China, Liaoning Province in Anshan City. And it is member unit of Fan Industry Association of China.		"
www.apscreens.com,sunny@apscreens.com,"Anping County Anpeng Wire Mesh Filter Equipment Co., Ltd.","
			We specialize in producing self-cleaning screen media and woven wire screen media, adopt high tensile steel wire and S.S. wire, by increasing opening area to increase screen capacity and material throughput; help customers increase screening efficiency.		"
www.anmopyc.com,anmopyc@anmopyc.com,ANMOPYC,"
			Spanish Manufacturers Association of Construction and Mining Equipment. Products: concrete, mortar, lifting, transport, aggregates, mining, recycling, road, earthmoving, underground, drilling, temporary works, auxiliary equipment, components and spare parts.		"
www.anixter.com,None,Anixter,None
www.aramine.com,None,Aramine,"
			Leader in mining and underground solutions. Equipment: Manufacturer for narrow vein mines and remanufacturer with genuine spare parts only. Spare parts and components: 725,000 manufacturers references available.		"
www.aramine.com,None,Aramine,None
www.aquablast.com,None,Aqua Blast Corporation,"
			Aqua Blast is a manufacturer of high pressure cleaning systems. We build machines available from 900 to 30,000+ PSI at 1 to 650 GPM. Electric, gas, or diesel driven, hot and cold water pressure washers. We build to customer specifications.		"
www.water.bilfinger.com,info.diemme.water@bilfinger.com,Aqseptence Group srl,"
			Bilfinger manufactures a comprehensive range of DiemmeÂ® Filtration filter presses.Our vision is to continue to evolve as a leader in the development and supply of customized solutions to meet the increasingly complex demand of our clients.		"
www.applied.com,ntolliver@applied.com,Applied Industrial Technologies,"
			Applied Industrial Technologies, a leading industrial distributor, offers more than 5 million quality products, including bearings, pneumatics, hydraulics, chemicals, industrial hose, power transmission, lubrication safety and tools.		"
www.aft.com,info@aft.com,Applied Flow Technology,"
			Developer of pipe flow modeling software, AFT has a comprehensive line of products for the analysis and design of piping and ducting systems in all industries.		"
www.haultrucktiebacks.com,None,Applied Fiber,None
www.appliedenergyco.com,mark.scott@appliedenergyco.com,"Applied Energy Company, LLC.","
			Advanced fluid management specialists.		"
www.arc.gov,info@arc.gov,Appalachia USA,"
			The Appalachian Regional Commission (ARC) is a regional economic development agency that represents 13 Appalachian states. ARC's mission is to innovate, partner, and invest to build community capacity and strengthen economic growth in Appalachia.		"
www.ascelik.com,None,As Celik,None
www.arvaindustries.com,sales@arvaindustries.com,Arva Industries Inc.,"
			ARVA - Mining products include Low-Profile: Cranes, Fan Handlers, Articulated Carriers, Scalers, Lubrication; Water; Conveyor & Rescue â€“ Service Vehicles. ARVA also offers Customized Attachments & Solutions for Unique Challenges		"
www.artisanvs.com,None,"Artisan Vehicle Systems, Inc",None
www.arrowmagnolia.com,None,"Arrow-Magnolia International, Inc.",None
www.arnoldmachinery.com,None,Arnold Machinery Co.,None
www.kynar.com,gary.dennis@arkema.com,"Arkema, Inc.","
			KynarÂ® PVDF is a strong, high temperature polymer for handling corrosive chemicals. KynarÂ® pipe, tube, tanks, and tower packing resists acids, chlorides & can be used up to 150Â°C for chemical handling applications.		"
www.azic.com/minexpo,sales@azic.com,Arizona Instrument LLC,"
			JeromeÂ®, by Arizona Instrument LLC, offers rugged and reliable mercury vapor analyzers capable of detecting as little as 0.05Âµg/m3 of mercury in air, making it easy to comply with MSHA regulations and ensure your coworkers are safe.		"
www.argonics.com,None,Argonics Inc,None
www.articcatering.com,terry.mcintosh@arcticcatering.com,Arctic Catering & Support Services,"
			Arctic Catering Inc. has been active in the remote camp and catering business since 1974. We provide quality services at competitive rates to a broad spectrum of industries. Our HSE and employee training programs are second to none in our industry.		"
www.amstedmaxion.com.br,kskibinski@amstedrail.com,Amsted Maxion,"
			AmstedMaxion is the premier source for steel casting for heavy-duty industrial applications and hot wound springs used in the most demanding working conditions- construction, mining, rail, automotive, power generation, agriculture, oil & gas.		"
www.amr-sales.com,sales@amr-sales.com,"AMR, Inc.","
			AMR provides 802.11 wireless communications, personnel tracking, atmospheric gas monitoring, collision avoidance solutions, ground check/ground fault monitors, electronic circuit breakers, smoke sensors, speed/tip sensors, and SCADA integration.		"
www.fibersystems.com,None,Amphenol Fiber Systems International,None
www.amiadusa.com,None,Amiad Water Systems,None
www.american-marsh.com,None,American-Marsh Pumps,None
www.vulkanusa.com,None,American Vulkan Corp.,None
www.atwtools.com,qunzhang@atwtools.com,American Torque Wrench Inc.,"
			ATW is a professional hydraulic tool sales/service company located in Houston, TX. We have a 5000 sq. ft. warehouse and office space. Our main products: hydraulic torque wrenches, hydraulic pumps, electric torque wrenches and other hydraulic tools.		"
www.amroll.com,None,American Roller Bearing Co.,None
www.americanmining.com,None,American Mining Insurance Co.,"
			For more than 25 years, American Mining Insurance Group (AMIG) has provided Workers Compensation (WC), Business Auto (BA), General Liability (GL) and Umbrella (UM) coverage to U.S. mining and mining related high severity industries.		"
www.american-manufacturing.com,None,American Manufacturing Co.,None
www.heart.org/workforcetraining,None,American Heart Association,"
			AHAâ€™s classroom or blended learning first aid/CPR AED/bloodborne pathogens courses are designed for anyone with little/no medical training needing a course completion card for job/regulatory/other requirement with courses meeting OSHA requirements.		"
www.miningamerica.org,info@miningamerica.org,American Exploration & Mining Association,"
			AEMA is a 121 year-old non-profit, non-partisan, national trade association based in Spokane, WA. Our purpose is to advocate for, and advance, the mineral resource and related industries.		"
www.americaneaglemanufacturing.com,None,American Eagle Mfg.,"
			American Eagle is a manufacturer of bulk conveyor components including primary and secondary belt cleaning systems, replacement blades for all major competitors, impact beds, modular chutes, and more.		"
www.americancableco.com,henk@americancableco.com,American Cable Company,"
			American Cable Company, manufactures battery cables, wiring harnesses, panel assemblies, control boxes and related components for some of the most respected OEM corporations around the world. We are an UL/CSA approved supplier. 6 Sigma deployed.		"
www.americanblock.com,None,American Block,None
www.americanaugers.com,info@americanaugers.com,American Augers,"
			Since 1945, Trencorâ€™s trenchers and surface miners have maintained their rock-solid reputation by being the longest lasting underground equipment line in the world. Trencor machines are handcrafted in the U.S.A. by American Augers.		"
www.aasteel.com,info@aasteel.com,American Alloy Steel,"
			For solutions to abrasive environments we offer AR 400/450/500 to help extend the life cycles of equipment and other ground engaging applications. For weldability/formability concerns, we can provide our Ameriwear 400 and Amerituf 500.		"
www.amerex-fire.com,None,Amerex Corp.,None
www.allmineral.com,info@allmineralllc.com,Allmineral LLC,None
www.allmand.com,None,Allmand Bros Inc.,None
www.vikingwear.com,None,"Alliance Mercantile, Inc.",None
www.alleghenyinstruments.com,sales@alleghenyinstruments.com,"Allegheny Instruments, Inc.","
			Allegheny Instruments, Inc. manufactures the GeoVISION line of borehole video camera systems. Our portable borehole cameras are used by geologists, engineers and well drillers to inspect wells as deep as 600 meters.		"
www.alimakhek.com,info@alimakhek.com,Alimak Hek AB,"
			Alimak Hek is a market leader and pioneer in rack-and-pinion elevators. The elevators are perfect for underground as well as above-ground mining applications, such as pelletizing plants, smelters, concentrators, and other ore processing plants.		"
www.alfalaval.com/mining,None,Alfa Laval,"
			Alfa Laval is a leading global provider of specialized products and engineered solutions. Our equipment, systems and services are dedicated to helping customers to optimize the performance of their processes. Time and time again.		"
None,tfairbanks@alastri.com.au,Alastri,None
www.AlaskaStructures.com,inquiry@alaskastructures.com,"Alaska Structures, Inc.","
			Alaska StructuresÂ® manufactures the most engineered fabric buildings for mineral exploration, mining camps and on-site facilities worldwide. Each Alaska Structure is customized to meet project requirements and designed for loads to ensure safety.		"
www.alanauld.com,None,Alan Auld Canada Ltd.,"
			The Alan Auld Group, with offices in the U.K., Canada and the U.S., specializes in the design and construction of mine access, particularly in difficult ground conditions. Visit us to learn about our new shaft video inspection system.		"
www.aerixindustries.com,None,Aerix Industries,"
			Aerix Industries is a leading supplier and manufacturer of foam liquid concentrates for the production of lightweight cellular concrete and advanced engineered foam solutions.		"
www.aecon.com,None,Aecon Mining,"
			Aecon Mining is one of Canadaâ€™s largest mining and land reclamation contractors, a position that complements our already well-established role as a leading heavy industrial contractor. Please visit www.aecon.com to view our full services.		"
www.aecom.com,melinda.reedweber@aecom.com,AECOM,"
			AECOM is a premier, fully integrated professional and technical services firm positioned to design, build, finance and operate infrastructure assets around the world for public and private sector firms, serving clients in more than 150 countries.		"
www.pressurepro.us,None,Advantage PressurePro,None
www.aep-inc.net,None,"Advantage Earth Products, Inc","
			Advantage Earth Products, Inc (AEP) is a manufacturer and distributor of petroleum underground and above-ground green certified piping systems, fittings, sumps and tools.		"
www.doprad.com,None,Advanced Designs Corporation,"
			ADCâ€™s Doprad Fury Doppler weather radar system can help to protect mining operations, equipment, personnel, and to assist in mitigating risk involving severe weather events. ADC has been providing Doppler weather radar systems for more than 34 years.		"
www.ads-pipe.com,info@ads-pipe.com,ADS International Inc.,"
			At Advanced Drainage Systems (ADS), we develop state-of-the-art products and services that help solve storm water management and leach collection and aeration network for heap leach operations.		"
www.addonsinc.com,None,"AddOns, Inc.","
			AddOns is an integrated managed IT solutions and professional services partner to the mining industry and other asset-intensive businesses that reduces and even eliminates IT nightmares, improves user experience, and implements solutions.		"
www.adbhoistrings.com,info@adbhoistrings.com,ADB Hoist Rings Mfg.,"
			ADBÂ® is the originator and a leading manufacturer of hoist rings and safety lifting devices used in many sectors of manufacturing and construction. Product applications include power generation; nuclear, hydro, wind and solar.		"
www.amecfw.com,None,AMEC Foster Wheeler,"
			AMEC Foster Wheeler is an industry leader in global mining solutions. For more than 60 years, we have been trusted to deliver some of the most logistically and technically challenging mining projects in the world.		"
www.ameintl.net,sales@ameintl.net,AME International,"
			AME International offers a complete range of tire-changing tools and equipment to serve all aspects of wheel and tire service. For more information, visit www.ameintl.net.		"
www.amcastonline.com,elsa@amcastonline.com,"Am Cast, Inc.","
			Am Cast, Inc. is an industry leader in performance wear parts and specialty crushing equipment; Wear Resistant Insert (WRIÂ®) and Master CeramicÂ® blow bars, Grip Plus (GPFÂ®) and Super Bite (SBÂ®) Manganese, and the Rocky TransformerÂ® Sand Crusher.		"
www.altramotion.com,None,Altra Industrial Motion,"
			Altra Industrial Motion, a global manufacturer of power transmission and motion control products, is represented by Ameridrives Couplings, Formsprag Clutch, Stieber Clutch, Marland Clutch, TB Woods, Wichita Clutch, Svendborg Brakes and Twiflex Ltd.		"
www.altousa.com,None,Alto Products Corp.,None
www.altaindustries.com,jdezinno@altaindustries.com,ALTA Industries,"
			ALTA is a pioneer in knee protection with more than 37 years of industry-leading innovation backed by experienced customer service. ALTA is a certified Woman Owned Business with a clear mission to deliver safe, comfortable, best-in-class protection.		"
www.alstribology.com,None,ALS Tribology,"
			ALS specializes in the testing of in-service lubricants, coolant, metalworking and consulting services. With more than 50 years experience and 17 locations, ALS provides quality data, fast turn-around time and training for asset reliability.		"
www.alro.com,None,Alro Steel,None
www.allu.net,None,"ALLU Group, Inc.",None
www.acuitybrands.com,None,Acuity Brands,None
www.acti-gel.com,None,"Active Minerals International, LLC",None
www.actionmining.com,sales@actionmining.com,Action Mining Services Inc.,"
			Offering the Micron Mill Wave Table, proven to be one of the best units for both testing and production for fine gold and other metals recovery in the mining/recycling industries, separating by specific gravity down to 5 microns without chemicals.		"
www.acmespecialty.com,None,Acme Specialty Mfg. Co.,None
www.ackerdrill.com,None,"Acker Drill Company, Inc.",None
www.ackerdrill.com,None,Acker Drill Co.,None
www.acerosysuministros.com,etena@acerosysuministros.com,Aceros y Suministros S.L.,"
			Aceros y Suministros S.L. has been manufacturing premium wear parts for the aggregate, mining and cement industries since 1951. This exhibition introduces the best and most versatile range of steel alloys for impact crusher blow bars.		"
www.acedrills.com,info@acedrills.com,"Acedrills Rock Tools Co., Ltd.","
			Acedrills Rock Tools Co., Ltd. is not only one of the oldest rock tools suppliers in China, it has also grown to be the biggest rock tools supplier in China. It is a highly specialized group corporation in accessories and consumables.		"
www.accutroninstruments.com,None,Accutron Instruments,None
www.accenture.com,None,Accenture,"
			Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations.		"
www.accellatirefill.com,contact@accellatirefill.com,Accella Tire Fill Systems,"
			Accella Tire Fill Systems is the industryâ€™s go-to-source for polyurethane tire fill. The companyâ€™s branded TyrFilÂ® line offers the most cost-effective tire flatproofing solution for improved safety and productivity.		"
www.abzvalve.com,charles.steffes@f-e-t.com,"ABZ Valves & Controls, Forum Energy Company","
			One of the most diverse butterfly valve manufactures in the marketplace today. Broad offering of resilient rubber seated, double offset and triple offset high performance, along with complete automation packages, all under one roof.		"
www.abtrex.com,None,"Abtrex Industries, Inc.","
			Abtrex is an ISO9001:2008 certified company specializing in abrasion and corrosion resistant linings and coatings, especially rubber linings. We fabricate tanks, piping systems and other industrial equipment at our three facilities in Michigan, Indiana and Pennsylvania.		"
www.durapac.com.au,None,Absolute Equipment,"
			Durapac is a leading force in high pressure hydraulic tools and jacking equipment.		"
www.abllights.com,None,ABL Lights Inc.,None
www.abel.de,mail@abel.de,ABEL GmbH,"
			ABEL Pumps offers more than 60 years experience in positive displacement pump technologies for pumping sludge, slurries and solids.		"
www.abcventilation.com,None,ABC Ventilation Systems,"
			ABC Ventilation Systems manufactures complete ventilation systems for mines and tunnels. ABC Ventilation Systems offers a wide range of fabrics for flexible layflat and spiral ducting. Vane axial fans, rigid ducting and dedusters are also offered.		"
www.abc-industries.net,sales@abc-industries.net,ABC Industries Inc.,"
			ABC Industries is one of North Americaâ€™s leaders in mine ventilation products, including MineVentÂ® and TruOval MineVentÂ® layflat blower tubing, MineDuctÂ® wire-reinforced ducting, RigiDuctÂ® fiberglass ducting, brattice, fly pads, and fans.		"
www.akronbrass.com,aeagle@akronbrass.com,Akron Brass Company,"
			Akron Brass Company is a leading global manufacturer of high performance firefighting products engineered and tested for superior fire suppression and emergency response needs.		"
www.npoakonit.ru/en,None,Akonit,"
			Manufacturing of conveyor systems and conveyors (including underground), elevators, spare parts and components. Services: design, assembling, starting-up and adjustment, commissioning and aftersales service.		"
www.akg-group.com,info@akg-america.com,AKG of America Inc.,"
			AKG is a global manufacturer of aluminum and copper heat exchangers for engine and hydraulics cooling used in challenging applications. With our new MCS series, we now offer a field repairable aluminum cooler for engines up to 5000 hp.		"
www.airplaco.com,None,Airplaco Equipment Co. Inc.,None
www.airflowsciences.com,asc@airflowsciences.com,Airflow Sciences Corporation,"
			Experts at physical/CFD flow modeling, field testing, fabrication of custom test equipment. In-house CFD software available for license. Cost-effective solutions to flow, heat transfer, combustion, chemistry, particulate and emission problems since 1975.		"
www.aireng.com.au,None,Aireng Pty Ltd,None
www.airbusds-ogm.com,chloe.leclerc@astrium.eads.net,Airbus Defence & Space,"
			The Intelligence programme line of Airbus Defence and Space is a recognised world leader in geo-information, with unmatched access to satellite imagery and unparalleled expertise. Supporting all stages of the oil, gas and mining project lifecycle.		"
www.airradiators.com,jmanev@airrads.com.au,Air Radiators,"
			Air Radiators specializes in developing and servicing radiators and cooling systems for diesel engines. We have the technical expertise and diverse product range to service global OEMs for radiators and cooling systems used in mining equipment.		"
airproducts.com/plantservices,cpsinfo@airproducts.com,Air Products,"
			Air Products provides industrial gases such as oxygen, nitrogen, hydrogen and argon to reduce operating costs and increase production in the mining industry. We also offer equipment and services to support efficient operations in non-ferrous firms.		"
